track_name,artist_names,track_duration,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Bad Boy,Cascada,191843,Eurodance,0.666,0.978,11,-5.118,0,0.0925,0.0149,0.0444,0.222,0.63,139.991
Cheeky Icy Thang,STAYC,150769,K-Pop,0.757,0.843,2,-4.033,1,0.0475,0.0128,0.0,0.117,0.673,131.011
B.A.S. (feat. Kyle Richh),"Megan Thee Stallion, Kyle Richh",206461,Rap,0.71,0.761,7,-3.424,1,0.236,0.0473,0.0,0.11,0.504,150.016
Underground • アンダーグラウンド,f5ve,141782,K-Pop,0.633,0.892,9,-5.975,1,0.0687,0.0421,0.114,0.142,0.517,176.92
Air Force One,ODD EYE CIRCLE (ARTMS),163813,K-Pop,0.742,0.938,6,-3.701,1,0.214,0.0528,0.0,0.132,0.516,137.986
Club classics,Charli xcx,153526,Uk Pop,0.704,0.868,7,-6.022,1,0.191,0.125,4.4E-05,0.167,0.712,144.969
Love Cherry Motion,LOONA,221847,K-Pop,0.696,0.861,5,-3.795,0,0.0306,0.0196,0.0,0.115,0.758,136.986
Virtual Angel,ARTMS,173640,K-Pop,0.568,0.931,0,-3.269,0,0.0826,0.353,0.0,0.319,0.894,82.937
Cosmic,Red Velvet,225864,K-Pop,0.72,0.57,1,-4.482,1,0.0515,0.032,0.0,0.165,0.641,105.958
Plastic Love,Mariya Takeuchi,294493,Classic City Pop,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64E-05,0.196,0.857,102.517
預言者,Tempalay,198751,Japanese Alternative Rock,0.663,0.791,1,-7.745,0,0.0935,0.582,2.4E-05,0.209,0.814,117.986
革命前夜,Tempalay,275973,Japanese Alternative Rock,0.609,0.735,7,-5.525,1,0.0313,0.0424,0.00247,0.107,0.602,88.466
EYES (feat. CONYPLANKTON),"AAAMYYY, CONYPLANKTON",186653,Japanese Alternative Rock,0.261,0.602,4,-6.739,0,0.0392,0.596,7.55E-05,0.118,0.283,81.974
